2019-09-27 14:28:56,030 INFO  [Timer-0] - [analytics] - High,Low,Close
2019-09-27 14:28:56,030 INFO  [Timer-0] - [analytics] - PreviousClose,DayLow,DayHigh
2019-09-27 14:28:56,030 INFO  [Timer-0] - [analytics] - 2977.62 ,2945.53 ,2987.31
2019-09-27 14:28:56,030 INFO  [Timer-0] - [analytics] - 2952.11,2952.11,2952.11
2019-09-27 15:11:56,926 INFO  [Timer-0] - [analytics] - High,Low,Close
2019-09-27 15:11:56,926 INFO  [Timer-0] - [analytics] - PreviousClose,DayLow,DayHigh
2019-09-27 15:11:56,926 INFO  [Timer-0] - [analytics] - 2977.62 ,2945.53 ,2987.31
2019-09-27 15:11:56,926 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:29:49,989 INFO  [Timer-0] - [analytics] - High,Low,Close
2019-09-27 15:29:49,989 INFO  [Timer-0] - [analytics] - PreviousClose,DayLow,DayHigh
2019-09-27 15:29:49,989 INFO  [Timer-0] - [analytics] - 2977.62 ,2945.53 ,2987.31
2019-09-27 15:29:49,989 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:30:19,538 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:30:49,546 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:31:19,545 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:31:49,579 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:32:19,551 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:32:49,670 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:33:19,679 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:33:44,406 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:33:49,761 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:34:14,554 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:34:19,465 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:34:44,699 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:34:49,469 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:35:14,597 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:35:19,467 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:35:44,546 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:35:49,478 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:36:14,560 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:36:19,489 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:36:44,561 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:36:49,477 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:37:14,576 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:37:19,486 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:37:44,536 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:37:49,476 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:38:14,567 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:38:19,463 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:38:44,598 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:38:49,472 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:39:14,571 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:39:19,481 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:39:44,591 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:39:49,561 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:40:14,641 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:40:19,481 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:40:44,598 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:40:49,490 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:41:14,670 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:41:19,480 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:41:44,621 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:41:49,480 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:42:14,560 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:42:19,480 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:42:44,549 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:42:49,469 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:43:14,680 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:43:19,479 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:43:44,579 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:43:49,469 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:44:14,609 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:44:19,548 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:44:44,558 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:44:49,478 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:45:14,468 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:45:19,468 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:45:44,446 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:45:49,488 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:46:14,467 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:46:19,494 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:46:44,437 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:46:49,467 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:47:14,467 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:47:19,500 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:47:44,717 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:47:49,467 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:48:14,626 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:48:19,466 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:48:44,546 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:48:49,466 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:49:14,416 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:49:19,686 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:49:44,596 INFO  [Timer-1] - [analytics] - 2961.79,2961.79,2961.79
2019-09-27 15:49:49,465 INFO  [Timer-0] - [analytics] - 2961.79,2961.79,2961.79
